"ID","Meal.Plan.Description","Term.Session.Description","Room.Location.Description","Price.Year"
940633646,"Gold","Fall 2024","Willow Hall",4800
910783763,"Cardinal","Fall 2024","Eaton Hall",5108
940793726,"Cardinal","Fall 2024","Maple Hall",5108
30174144,"Campanile","Fall 2024","Frederiksen Court",3928
90104177,"Campanile","Fall 2024","Off Campus",3928
80464445,"Cardinal","Fall 2024","Martin Hall",5108
30514566,"Gold","Fall 2024","Friley Hall",4800
60224572,"Campanile","Fall 2024","Larch Hall",3928
70794728,"50 Meal Blocks","Fall 2024","Frederiksen Court",656
160224098,"Cardinal","Fall 2024","Friley Hall",5108
120134103,"Cardinal","Fall 2024","Wallace Hall",5108
120434413,"Cardinal","Fall 2024","Martin Hall",5108
150924664,"Cardinal","Fall 2024","Wilson Hall",5108
100744751,"Cardinal","Fall 2024","Willow Hall",5108
210014022,"Campanile","Fall 2024","Off Campus",3928
230014044,"Campanile","Fall 2024","Frederiksen Court",3928
240134186,"Cardinal","Fall 2024","Larch Hall",5108
260234278,"Campanile","Fall 2024","Frederiksen Court",3928
220424495,"Cardinal","Fall 2024","Friley Hall",5108
230404405,"Gold","Fall 2024","Helser Hall",4800
220524619,"Gold","Fall 2024","Frederiksen Court",4800
210794888,"Gold","Fall 2024","Wilson Hall",4800
310144218,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
390424320,"Gold","Fall 2024","Friley Hall",4800
300644692,"Gold","Fall 2024","Friley Hall",4800
390744600,"Campanile","Fall 2024","Frederiksen Court",3928
330724720,"Cardinal","Fall 2024","University Village",5108
360774716,"Cardinal","Fall 2024","Maple Hall",5108
450014047,"25 Meal Blocks","Fall 2024","Frederiksen Court",336
490084079,"50 Meal Blocks","Fall 2024","Off Campus",656
420214244,"Cardinal","Fall 2024","Elm Hall",5108
460274253,"Campanile","Fall 2024","Wilson Hall",3928
420364373,"25 Meal Blocks","Fall 2024","Off Campus",336
470414449,"Cardinal","Fall 2024","Helser Hall",5108
440784761,"Campanile","Fall 2024","Martin Hall",3928
400884811,"Gold","Fall 2024","Buchanan Hall",4800
410714828,"Gold","Fall 2024","Geoffroy Hall",4800
450894896,"50 Meal Blocks","Fall 2024","Off Campus",656
480844859,"Cardinal","Fall 2024","Oak Hall",5108
500164192,"Cardinal","Fall 2024","Larch Hall",5108
560284296,"Campanile","Fall 2024","Off Campus",3928
580214205,"Gold","Fall 2024","Birch Hall",4800
580564589,"100 Meal Blocks","Fall 2024","Off Campus",1287
550724742,"Cardinal","Fall 2024","Geoffroy Hall",5108
620194143,"Gold","Fall 2024","Buchanan Hall",4800
690554424,"Cardinal","Fall 2024","Maple Hall",5108
650694692,"Cardinal","Fall 2024","Elm Hall",5108
620714724,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
680854848,"Gold","Fall 2024","Off Campus",4800
650934987,"Cardinal","Fall 2024","Geoffroy Hall",5108
790954357,"Cardinal","Fall 2024","Buchanan Hall",5108
710564638,"Cardinal","Fall 2024","Friley Hall",5108
750684686,"Cardinal","Fall 2024","Willow Hall",5108
750794796,"Gold","Fall 2024","Welch Hall",4800
760904926,"Cardinal","Fall 2024","Off Campus",5108
830124174,"Campanile","Fall 2024","Wilson Hall",3928
870324328,"Cardinal","Fall 2024","Elm Hall",5108
880364318,"Cardinal","Fall 2024","Larch Hall",5108
810384407,"Campanile","Fall 2024","Frederiksen Court",3928
830404481,"Cardinal","Fall 2024","Friley Hall",5108
850764715,"Cardinal","Fall 2024","Geoffroy Hall",5108
860724743,"Cardinal","Fall 2024","Off Campus",5108
830864840,"Cardinal","Fall 2024","Buchanan Hall",5108
880884889,"Cardinal","Fall 2024","Willow Hall",5108
830864919,"Campanile","Fall 2024","Frederiksen Court",3928
830304933,"Campanile","Fall 2024","Frederiksen Court",3928
930154131,"50 Meal Blocks","Fall 2024","Off Campus",656
960774757,"Cardinal","Fall 2024","Geoffroy Hall",5108
90235249,"25 Meal Blocks","Fall 2024","Off Campus",336
90225289,"50 Meal Blocks","Fall 2024","University Village",656
50625655,"Cardinal","Fall 2024","Frederiksen Court",5108
80925949,"Cardinal","Fall 2024","Eaton Hall",5108
110395352,"Cardinal","Fall 2024","Larch Hall",5108
160395342,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
240145155,"Cardinal","Fall 2024","Eaton Hall",5108
290265209,"Cardinal","Fall 2024","Maple Hall",5108
250595505,"Campanile","Fall 2024","University Village",3928
240845834,"Gold","Fall 2024","Buchanan Hall",4800
240945934,"Cardinal","Fall 2024","Friley Hall",5108
250975915,"Cardinal","Fall 2024","Off Campus",5108
300985059,"Cardinal","Fall 2024","Buchanan Hall",5108
330075033,"Cardinal","Fall 2024","Friley Hall",5108
360175126,"Cardinal","Fall 2024","Birch Hall",5108
340355350,"50 Meal Blocks","Fall 2024","Off Campus",656
310465537,"Campanile","Fall 2024","Martin Hall",3928
310435538,"Cardinal","Fall 2024","Martin Hall",5108
320455558,"50 Meal Blocks","Fall 2024","Linden Hall",656
310655611,"Campanile","Fall 2024","Frederiksen Court",3928
390755709,"Cardinal","Fall 2024","Willow Hall",5108
360955967,"Cardinal","Fall 2024","Buchanan Hall",5108
440205275,"Cardinal","Fall 2024","Friley Hall",5108
440765692,"Cardinal","Fall 2024","Geoffroy Hall",5108
400795750,"Cardinal","Fall 2024","Elm Hall",5108
430725733,"100 Meal Blocks","Fall 2024","University Village",1287
450985955,"Campanile","Fall 2024","Frederiksen Court",3928
500015060,"Campanile","Fall 2024","Frederiksen Court",3928
530155041,"50 Meal Blocks","Fall 2024","Off Campus",656
530685087,"Campanile","Fall 2024","Off Campus",3928
570095037,"100 Meal Blocks","Fall 2024","Off Campus",1287
580025038,"Cardinal","Fall 2024","Willow Hall",5108
570465350,"Cardinal","Fall 2024","Geoffroy Hall",5108
560485466,"Gold","Fall 2024","Geoffroy Hall",4800
530995933,"Cardinal","Fall 2024","Helser Hall",5108
600375360,"Cardinal","Fall 2024","Elm Hall",5108
770265257,"100 Meal Blocks","Fall 2024","Frederiksen Court",1287
790515599,"Campanile","Fall 2024","Off Campus",3928
720675662,"Cardinal","Fall 2024","Geoffroy Hall",5108
880005018,"Cardinal","Fall 2024","Geoffroy Hall",5108
820175111,"Cardinal","Fall 2024","Willow Hall",5108
830265273,"Campanile","Fall 2024","Friley Hall",3928
840215214,"Cardinal","Fall 2024","Willow Hall",5108
810385351,"Campanile","Fall 2024","Frederiksen Court",3928
820315331,"50 Meal Blocks","Fall 2024","Off Campus",656
830315384,"100 Meal Blocks","Fall 2024","Off Campus",1287
810465492,"Campanile","Fall 2024","Frederiksen Court",3928
830735777,"100 Meal Blocks","Fall 2024","Off Campus",1287
830885908,"Gold","Fall 2024","Off Campus",4800
880915938,"Cardinal","Fall 2024","Maple Hall",5108
940225265,"Cardinal","Fall 2024","Buchanan Hall",5108
960575554,"Cardinal","Fall 2024","Larch Hall",5108
970665647,"Cardinal","Fall 2024","Maple Hall",5108
950805831,"Gold","Fall 2024","Frederiksen Court",4800
960815876,"Cardinal","Fall 2024","Eaton Hall",5108
920935971,"Cardinal","Fall 2024","Helser Hall",5108
70176112,"25 Meal Blocks","Fall 2024","Off Campus",336
40236224,"Gold","Fall 2024","Friley Hall",4800
10336477,"Cardinal","Fall 2024","Friley Hall",5108
50506535,"Campanile","Fall 2024","Off Campus",3928
90546514,"Cardinal","Fall 2024","Off Campus",5108
90646685,"Cardinal","Fall 2024","Buchanan Hall",5108
140036034,"Gold","Fall 2024","Frederiksen Court",4800
110206201,"Cardinal","Fall 2024","Martin Hall",5108
170376367,"Cardinal","Fall 2024","Larch Hall",5108
110536571,"Cardinal","Fall 2024","Martin Hall",5108
110566597,"Campanile","Fall 2024","University Village",3928
140626603,"50 Meal Blocks","Fall 2024","Off Campus",656
150656604,"Gold","Fall 2024","Elm Hall",4800
140796839,"25 Meal Blocks","Fall 2024","Off Campus",336
