"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"940993945","Cardinal","Spring 2023","In Room","Helser Hall"
"010024159","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"000344393","Gold","Spring 2023","In Room","Helser Hall"
"090454371","CyFlex","Spring 2023","In Room","Friley Hall"
"030504564","Gold","Spring 2023","In Room","Friley Hall"
"060224572","Silver","Spring 2023","In Room","Maple Hall"
"030694675","Cardinal","Spring 2023","In Room","Willow Hall"
"080704746","CyFlex","Spring 2023","In Room","Frederiksen Court 83"
"090914957","Gold","Spring 2023","In Room","Elm Hall"
"190284171","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"110284338","Bronze","Spring 2023","In Room","Frederiksen Court 23"
"160584588","Gold","Spring 2023","In Room","Geoffroy Hall"
"150744772","50 Flex Block","Spring 2023","History","Off Campus"
"210014022","Cardinal","Spring 2023","In Room","Martin Hall"
"220144122","Bronze","Spring 2023","In Room","University Village 120"
"290294235","Cardinal","Spring 2023","In Room","Helser Hall"
"220314374","Cardinal","Spring 2023","In Room","Larch Hall"
"270434325","Cardinal","Spring 2023","In Room","Eaton Hall"
"230464473","Bronze","Spring 2023","History","Off Campus"
"240704786","Cardinal","Spring 2023","In Room","Elm Hall"
"260984998","Bronze","Spring 2023","In Room","Wallace Hall"
"330694024","Cardinal","Spring 2023","In Room","Helser Hall"
"390194050","Cardinal","Spring 2023","In Room","Helser Hall"
"310114185","50 Flex Block","Spring 2023","History","Off Campus"
"310174278","Cardinal","Spring 2023","In Room","Willow Hall"
"370384354","Cardinal","Spring 2023","In Room","Lyon Hall"
"380364329","Cardinal","Spring 2023","In Room","Larch Hall"
"360544546","85 Flex Block","Spring 2023","Cancelled","Off Campus"
"390744600","Cardinal","Spring 2023","In Room","Helser Hall"
"330724720","Cardinal","Spring 2023","In Room","Welch Hall"
"420154142","Gold","Spring 2023","In Room","Martin Hall"
"440344371","Cardinal","Spring 2023","In Room","Friley Hall"
"430544689","Bronze","Spring 2023","History","Off Campus"
"430744786","Gold","Spring 2023","History","Off Campus"
"440784761","105 Flex Block","Spring 2023","History","Off Campus"
"530094080","Cardinal","Spring 2023","In Room","Helser Hall"
"560034013","Cardinal","Spring 2023","In Room","Maple Hall"
"540184184","Silver","Spring 2023","History","Off Campus"
"570144144","Cardinal","Spring 2023","In Room","Eaton Hall"
"560284296","Silver","Spring 2023","In Room","University Village 140"
"510424493","Cardinal","Spring 2023","In Room","Oak Hall"
"560764787","Cardinal","Spring 2023","In Room","Larch Hall"
"520824853","85 Flex Block","Spring 2023","In Room","Frederiksen Court 81"
"580974938","Cardinal","Spring 2023","In Room","Roberts Hall"
"590954976","Silver","Spring 2023","In Room","Frederiksen Court 33"
"640304395","Cardinal","Spring 2023","In Room","Welch Hall"
"620454472","25 Flex Block","Spring 2023","Reserved","Geoffroy Hall"
"690534536","25 Flex Block","Spring 2023","History","Off Campus"
"610774701","Gold","Spring 2023","In Room","Martin Hall"
"620714724","Cardinal","Spring 2023","In Room","Helser Hall"
"750094086","Gold","Spring 2023","In Room","Martin Hall"
"730214281","Bronze","Spring 2023","In Room","Frederiksen Court 33"
"740584564","Cardinal","Spring 2023","In Room","Welch Hall"
"700644620","Cardinal","Spring 2023","History","Off Campus"
"790964820","Cyclone","Spring 2023","In Room","Helser Hall"
"710804918","Gold","Spring 2023","In Room","Larch Hall"
"790984996","Cardinal","Spring 2023","In Room","Helser Hall"
"810004031","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"830224224","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"810384407","Cardinal","Spring 2023","In Room","Friley Hall"
"830474484","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"860464427","Cardinal","Spring 2023","In Room","Buchanan Hall"
"850594535","Gold","Spring 2023","In Room","Maple Hall"
"830864840","Cardinal","Spring 2023","In Room","Eaton Hall"
"830864919","Cyclone","Spring 2023","In Room","Helser Hall"
"910374320","Cardinal","Spring 2023","In Room","Helser Hall"
"910234358","Silver","Spring 2023","In Room","Frederiksen Court 33"
"940304376","Gold","Spring 2023","In Room","Geoffroy Hall"
"950834366","Cardinal","Spring 2023","Application","Off Campus"
"940424434","Gold","Spring 2023","In Room","Geoffroy Hall"
"960554512","Bronze","Spring 2023","In Room","University Village 140"
"960584567","Gold","Spring 2023","In Room","Helser Hall"
"960974751","Cardinal","Spring 2023","In Room","Martin Hall"
"990174773","CA Plan","Spring 2023","In Room","Geoffroy Hall"
"980954918","Gold","Spring 2023","In Room","Geoffroy Hall"
"090225289","Cardinal","Spring 2023","In Room","Eaton Hall"
"050625655","Cyclone","Spring 2023","In Room","Frederiksen Court 63"
"040765795","Cardinal","Spring 2023","In Room","Willow Hall"
"040995930","Cardinal","Spring 2023","In Room","Buchanan Hall"
"180085017","Gold","Spring 2023","In Room","Eaton Hall"
"110145171","Cardinal","Spring 2023","In Room","Geoffroy Hall"
"120205272","Bronze","Spring 2023","In Room","Buchanan Hall"
"160385307","Cardinal","Spring 2023","In Room","Willow Hall"
"160395342","Silver","Spring 2023","In Room","Frederiksen Court 83"
"140545575","Cardinal","Spring 2023","In Room","Barton Hall"
"170645544","Cardinal","Spring 2023","Application","Off Campus"
"190545579","Silver","Spring 2023","Reserved","Frederiksen Court 24"
"110605642","Cardinal","Spring 2023","In Room","Welch Hall"
"100855822","Cardinal","Spring 2023","In Room","Helser Hall"
"280195154","25 Flex Block","Spring 2023","Application","Off Campus"
"290165149","Gold","Spring 2023","In Room","Maple Hall"
"290145189","50 Flex Block","Spring 2023","Application","Off Campus"
"210255291","Cardinal","Spring 2023","In Room","Lyon Hall"
"200335371","Cardinal","Spring 2023","In Room","Willow Hall"
"250595505","Cardinal","Spring 2023","In Room","Birch Hall"
"280665628","Gold","Spring 2023","History","Off Campus"
"290605649","CA Plan","Spring 2023","In Room","Elm Hall"
"290685668","Cardinal","Spring 2023","In Room","Maple Hall"
"230815864","Cardinal","Spring 2023","In Room","Willow Hall"
"240845834","Cardinal","Spring 2023","In Room","Buchanan Hall"
"230965903","Gold","Spring 2023","In Room","Linden Hall"
"320195192","Gold","Spring 2023","In Room","Buchanan Hall"
"330225280","CA Plan","Spring 2023","In Room","Martin Hall"
"380565539","Cardinal","Spring 2023","In Room","Frederiksen Court 83"
"380725738","Bronze","Spring 2023","In Room","Helser Hall"
"380795794","Bronze","Spring 2023","In Room","Friley Hall"
"350805853","Bronze","Spring 2023","In Room","Frederiksen Court 81"
"360925926","Cardinal","Spring 2023","In Room","Maple Hall"
"440135165","50 Flex Block","Spring 2023","Application","Off Campus"
"400155246","Bronze","Spring 2023","In Room","Friley Hall"
"420135228","Bronze","Spring 2023","In Room","Friley Hall"
"450285285","Cardinal","Spring 2023","In Room","Willow Hall"
"440775770","25 Flex Block","Spring 2023","Application","Off Campus"
"420875800","Cardinal","Spring 2023","In Room","Welch Hall"
"450985955","Cardinal","Spring 2023","In Room","Linden Hall"
"470935997","25 Flex Block","Spring 2023","History","Off Campus"
"530155041","Cardinal","Spring 2023","In Room","Elm Hall"
"550005092","Cardinal","Spring 2023","In Room","Friley Hall"
"570095037","Cardinal","Spring 2023","In Room","Buchanan Hall"
"520545511","Cardinal","Spring 2023","In Room","Friley Hall"
"550775755","Bronze","Spring 2023","Reserved","Friley Hall"
"590795788","Gold","Spring 2023","In Room","Elm Hall"
"510815907","Bronze","Spring 2023","History","Off Campus"
