Rating,Body,Dining Hall,Date,reviewUrl
4,"This place was great but all the staff were sopping wet for some reason, literally dripping with water and ooze, kinda creepy but good burgers tho",Conversations Dining,8/23/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVdHVYVHRBRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDUtuXTtAE%7CCgwIqYL96gUQyPe4jwI%7C?hl=en
4,"Good food , could use a change up on food choices every once in a while",Conversations Dining,3/16/2016,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3N1B2cGxnRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICw7PvplgE%7CCgwI_eWmtwUQwNWZ_QE%7C?hl=en
4,,Conversations Dining,9/6/2018,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNnb3FIeERBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICgoqHxDA%7CCgwInrPG3AUQgO279gE%7C?hl=en
5,,Conversations Dining,4/10/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNZcW9qWU53EAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICYqojYNw%7CCgsI45K55QUQyI_iWA%7C?hl=en
4,"A small one, but not bad",Conversations Dining,7/11/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURrejRHbnlnRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDkz4GnygE%7CCgwIzpif6QUQ-OLV9QI%7C?hl=en
3,"Conversations does it better than Seasons, depending on your tongue. For me it hits a little better. They are way more consistent in the service category, where I get actual words from the employees who work diligently in the kitchen. They also have a couple of superior options to Seasons across the street, however the size proportions and quality can be inconsistent. I think the one thing that has me most scratching my head is why they would decide to have it be a get & go only location. In summation, I think Conversations is still one of the weaker options, but at least you can always be serviced for get & go, unlike West Side Market.",Conversations Dining,10/16/2024,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYbnZtWmZBEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICXnvmZfA%7CCgwI-5rBuAYQsKrykAM%7C?hl=en
5,"Conversations dining. Should be named, garden of Eden. It is hands-down the best eating experience I have ever had in my life! Chad not only served us well but he served me well I felt more loved by Chad then Ive ever felt loved by anyone in my life, and Im talking about my parents as well! Fell in love with not only conversations dining but most definitely also Chad.",Conversations Dining,8/22/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURVMXNQV21nRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDU1sPWmgE%7CCgwI59v76gUQuLetnAM%7C?hl=en
5,,Conversations Dining,11/13/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQwcFlMME5nEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgID0pYL0Ng%7CCgwI4pmt7gUQ6Kyw1QI%7C?hl=en
4,,Conversations Dining,8/18/2018,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURnM3RQZU5nEAE!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgIDg3tPeNg%7CCgwIocTh2wUQoKOxiAE%7C?hl=en
4,,Conversations Dining,4/9/2019,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZa29tRHJnRRAB!2m1!1s0x0:0x85557bc4b60f6131!3m1!1s2@1:CIHM0ogKEICAgICYkomDrgE%7CCgsIlN-v5QUQsO_XRA%7C?hl=en
